title,year,doi,url,status,discovered_by
"""AI Psychosis"" in Context: How Conversation History Shapes LLM Responses to Delusional Beliefs",2026,10.48550/arxiv.2604.13860,https://doi.org/10.48550/arxiv.2604.13860,citation_neighbor_not_screened,citation-graph.json
$π^2$: Structure-Originated Reasoning Data Improves Long-Context Reasoning Ability of Large Language Models,2026,10.48550/arxiv.2604.05114,https://doi.org/10.48550/arxiv.2604.05114,citation_neighbor_not_screened,citation-graph.json
A ChatGPT-MATLAB framework for numerical modeling in geotechnical engineering applications,2024,10.1016/j.compgeo.2024.106237,https://doi.org/10.1016/j.compgeo.2024.106237,citation_neighbor_not_screened,citation-graph.json
"A Comprehensive Survey on Agent Skills: Taxonomy, Techniques, and Applications",2026,10.48550/arxiv.2605.07358,https://doi.org/10.48550/arxiv.2605.07358,candidate_not_fully_reviewed,search-1.json
A computationally light data-driven approach for heat transfer and hydraulic characteristics modeling of supercritical fluids: From DNS to DNN,2018,10.1016/j.ijheatmasstransfer.2018.02.115,https://doi.org/10.1016/j.ijheatmasstransfer.2018.02.115,citation_neighbor_not_screened,citation-graph.json
A decision support methodology for embodiment design and process chain selection for hybrid manufacturing platforms,2016,10.1007/s00170-016-8514-7,https://doi.org/10.1007/s00170-016-8514-7,citation_neighbor_not_screened,citation-graph.json
A design to cost system for innovative product development,2002,10.1243/09544050260174201,https://doi.org/10.1243/09544050260174201,citation_neighbor_not_screened,citation-graph.json
A flexible language model-assisted electronic design automation framework,2026,10.48550/arxiv.2601.14098,https://doi.org/10.48550/arxiv.2601.14098,candidate_not_fully_reviewed,search-10.json;search-5.json
A large language model-based rule formalization framework for civil engineering standard clauses,2026,10.2139/ssrn.6443038,https://doi.org/10.2139/ssrn.6443038,candidate_not_fully_reviewed,search-7.json
A large language model-driven automated workflow for CFD simulations of urban street canyons,2026,10.1016/j.enbuild.2026.117694,https://doi.org/10.1016/j.enbuild.2026.117694,citation_neighbor_not_screened,citation-graph.json
A large language model-empowered agent for reliable and robust structural analysis,2026,10.1080/15732479.2026.2630123,https://doi.org/10.1080/15732479.2026.2630123,citation_neighbor_not_screened,citation-graph.json
A multimodal large language model for materials science,2026,10.1038/s42256-026-01214-y,https://doi.org/10.1038/s42256-026-01214-y,candidate_not_fully_reviewed,search-4.json
A Novel LLM-Assisted Approach for Automated Mechanical Design of Regularized Geometries in CAD System,2026,10.1109/access.2026.3666652,https://doi.org/10.1109/access.2026.3666652,candidate_not_fully_reviewed,search-3.json
A perspective on machine learning in turbulent flows,2020,10.1080/14685248.2020.1757685,https://doi.org/10.1080/14685248.2020.1757685,citation_neighbor_not_screened,citation-graph.json
A Preliminary Assessment of Coding Agents for CFD Workflows,2026,10.48550/arxiv.2602.11689,https://doi.org/10.48550/arxiv.2602.11689,citation_neighbor_not_screened,citation-graph.json
A qualitative assessment of using ChatGPT as large language model for scientific workflow development,2024,10.1093/gigascience/giae030,https://doi.org/10.1093/gigascience/giae030,candidate_not_fully_reviewed,search-6.json
A review of automated feature recognition with rule-based pattern recognition,2008,10.1016/j.compind.2007.09.001,https://doi.org/10.1016/j.compind.2007.09.001,citation_neighbor_not_screened,citation-graph.json
A review of large language models and autonomous agents in chemistry,2025,10.1039/d4sc03921a,https://doi.org/10.1039/d4sc03921a,citation_neighbor_not_screened,citation-graph.json
A Specialized Large Language Model for Electronic Design Automation,2025,10.67535/tsp.000001.041,https://doi.org/10.67535/tsp.000001.041,candidate_not_fully_reviewed,search-5.json
